org,street,city,state,zip,affordable,score
" ""COMMUNITY COUNCIL OF IDAHO, INC"" ""317 Happy Day Blvd, Ste 250""",,Caldwell,ID,83607-1529,False,0
, HORIZON HEALTH SERVICES INC 8314 Main St Ivor,,VA,23866-3433,False,0
, CITY OF SIOUX FALLS 224 W 9th St Sioux Falls,,SD,57104-6407,False,0
, BIG SANDY HEALTH CARE 1709 KY Route 321 Prestonsburg,,KY,41653,False,0
, THE HEALTH & HOSPITAL CORPORATION OF MARION COUNTY 3838 N Rural St Indianapolis,,IN,46205-2930,False,0
, NYS DEPARTMENT OF HEALTH CORNING TOWER ROOM 2772 Albany,,NY,12237-0001,False,0
, DFD RUSSELL MEDICAL CENTER INC 180 Church Hill Rd Leeds,,ME,04263-3448,False,0
" ""Centerville Clinics, INCORPORATED""",1070 Old National Pike Fredericktown,"INCORPORATED"" 1070 Old National Pike Fredericktown",PA,15333-2114,False,0
, OREGON WASHINGTON HEALTH NETWORK 200 SE Hailey Ave STE 307 Pendleton,,OR,97801-3072,False,0
" ""VALLE DEL SOL, INC""",3877 North 7th Street Phoenix,"INC"" 3877 North 7th Street Phoenix",AZ,85014,False,0
, COVINGTON COUNTY HOSPITAL 701 S Holly Ave Collins,,MS,39428-3894,False,0
" ""AUGUSTA UNIVERSITY RESEARCH INSTITUTE, INC""",1120 15th St Augusta,"INC"" 1120 15th St Augusta",GA,30912-0004,False,0
, MINNESOTA DEPARTMENT OF HEALTH 625 Robert St N Saint Paul,,MN,55155-2538,False,0
, HUNTER HEALTH CLINIC INC 2318 E Central Ave Wichita,,KS,67214-4482,False,0
" ""MEDLINK GEORGIA, INC.""",11 Charlie Morris Rd Colbert,"INC."" 11 Charlie Morris Rd Colbert",GA,30628-2445,False,0
, UNIVERSIDAD CARLOS ALBIZU O UNIVERSIDAD ALBIZU O ALBIZU UNIVERSITY O UCA O CAU INC. 2173 Nw 99Th Ave Doral,,FL,33172-2231,False,0
" ""Health Care Partners of South Carolina, Inc.""",1708 Oak St Conway,"Inc."" 1708 Oak St Conway",SC,29526-3086,False,0
" ""ALL FOR HEALTH, HEALTH FOR ALL, INC.""",519 E Broadway Glendale,"INC."" 519 E Broadway Glendale",CA,91205-1110,False,0
, OKLAHOMA STATE DEPARTMENT OF HEALTH 123 Robert S Kerr Ave Oklahoma City,,OK,73102-6406,False,0
, DOUGLAS COUNTY PUBLIC HEALTH SERVICES GROUP INC 504 W Broadway Ave Ava,,MO,65608,False,0
, YAKIMA NEIGHBORHOOD HEALTH SERVICES 12 S 8th St Yakima,,WA,98901-3094,False,0
, VIRGINIA DEPARTMENT OF HEALTH 109 Governor St Richmond,,VA,23219-3635,False,0
" ""FULL CIRCLE HEALTH, INC.""",777 N Raymond St Boise,"INC."" 777 N Raymond St Boise",ID,83704-9251,False,0
" ""NORTHWEST MICHIGAN HEALTH SERVICES, INC""",10767 E Traverse Hwy Traverse City,"INC"" 10767 E Traverse Hwy Traverse City",MI,49684,False,0
, WORKIT HEALTH INC 3300 Washtenaw Ave STE 280 Ann Arbor,,MI,48104-5184,False,0
" ""MARICOPA, COUNTY OF""",4041 North Central Avenue Phoenix,"COUNTY OF"" 4041 North Central Avenue Phoenix",AZ,85012,False,0
, BLUESTONE HEALTH ASSOCIATION INC 3997 Beckley Rd Princeton,,WV,24740-7660,False,0
, CITY OF COLUMBUS 240 Parsons Ave Columbus,,OH,43215-5331,False,0
" ""NORTHEAST FLORIDA HEALTH SERVICES, INC.""",1205 S Woodland Blvd Deland,"INC."" 1205 S Woodland Blvd Deland",FL,32720-7466,False,0
, State of New Mexico 1190 S Saint Francis Dr Santa Fe,,NM,87505-4173,False,0
, COUNTY OF SANTA BARBARA 300 N San Antonio Rd Santa Barbara,,CA,93110,False,0
, MARIAS HEALTHCARE SERVICES INC West Roosevelt Highway Shelby,,MT,59474-1549,False,0
, HOSPITAL SERVICE DISTRICT 1 A 407 Cincinnati St Delhi,,LA,71232-3007,False,0
" ""GARDNER FAMILY HEALTH NETWORK, INC"" ""160 E Virginia St, Ste 100"" San",,Jose,CA,95112-5865,False,0
, WASHINGTON COUNTY MEMORIAL HOSPITAL 300 Health Way Dr Potosi,,MO,63664-1420,False,0
, COMMUNITY CHEST INC 991 S C St Virginia City,,NV,89440,False,0
" ""WOMENCARE, INC"" ""97 Great Teays Blvd, Ste 6"" Scott",,Depot,WV,25560-9816,False,0
, Community Action Corporation Of South Texas 204 E 1st St Alice,,TX,78332-4822,False,0
, NATIVE HEALTH 4041 North Central Avenue Phoenix,,AZ,85012,False,0
" ""COMPASS HEALTH, INC""",1800 Community Clinton,"INC"" 1800 Community Clinton",MO,64735-8804,False,0
, INTEGRATED CARE OF GREATER HICKORY INC 741 5th Street Southwest Hickory,,NC,28602-3230,False,0
" HEALTH CARE DISTRICT OF PALM BEACH COUNTY ""1515 N Flagler Dr, Ste 101"" West Palm",,Beach,FL,33401-3429,False,0
, UNISON BEHAVIORAL HEALTH 1007 Mary St Waycross,,GA,31503-3899,False,0
, SHINGLETOWN MEDICAL CENTER 31292 Alpine Meadows Rd Shingletown,,CA,96088-9462,False,0
" CLINICA SIERRA VISTA ""1430 Truxtun Ave, Ste 400""",,Bakersfield,CA,93301-5220,False,0
, HANA HEALTH 4590 Hana Hwy Hana,,HI,96713,False,0
, HARRIS CTYHOSP DIST 4800 Fournace Pl # 6W Bellaire,,TX,77401-2324,False,0
, THE DAVIS STREET COMMUNITY CENTER INCORPORATED 3081 Teagarden St San Leandro,,CA,94577-5720,False,0
, ARKANSAS DEPARTMENT OF HEALTH 4815 W Markham St Little Rock,,AR,72205-3867,False,0
, HEALTH SERVICES INC 1845 Cherry St Montgomery,,AL,36107-2613,False,0
, CAMILLUS HEALTH CONCERN INC 336 NW 5th St Miami,,FL,33128-1616,False,0
, OREGON HEALTH AUTHORITY 500 Summer St NE # E-82 Salem,,OR,97301-1064,False,0
, LANE COUNTY OREGON 125 E 8th Ave Eugene,,OR,97401-2922,False,0
, SEBASTICOOK FAMILY DOCTORS 118 Moosehead Trl Newport,,ME,04953-4055,False,0
, COUNTY OF KNOX 1361 W Fremont St Galesburg,,IL,61401-2436,False,0
, UNIVERSITY OF VERMONT & STATE AGRICULTURAL COLLEGE 85 S Prospect St Burlington,,VT,05405-1704,False,0
, NORTHEASTERN RURAL HEALTH CLINICS 1850 Spring Ridge Dr Susanville,,CA,96130-6100,False,0
, American Indian Health & Services Corporation 3227 State St Santa Barbara,,CA,93105-3328,False,0
, BAYLOR UNIVERSITY 700 S University Parks Dr Waco,,TX,76706-1003,False,0
, THE UNIVERSITY OF IOWA 5 West Jefferson Street Iowa City,,IA,52242,False,0
, WHIDBEY ISLAND PUBLIC HOSPITAL DISTRICT 101 N Main St Coupeville,,WA,98239-3413,False,0
, CENTRO SAN VICENTE 8061 Alameda Ave El Paso,,TX,79915-4705,False,0
, SOUTHERN NEVADA HEALTH DIST 280 S Decatur Blvd Las Vegas,,NV,89107-2936,False,0
, UNIVERSITY OF MAINE SYSTEM 5717 CORBETT HALL Orono,,ME,04469-5717,False,0
" ""ERIE, COUNTY OF""",420 Superior St # 1 Sandusky,"COUNTY OF"" 420 Superior St # 1 Sandusky",OH,44870-1849,False,0
, SHENANDOAH VALLEY MEDICAL SYSTEM INC 99 Tavern Rd Martinsburg,,WV,25401-2890,False,0
" ""NORTHERN COUNTIES HEALTH CARE, INC.""",165 Sherman Dr Saint Johnsbury,"INC."" 165 Sherman Dr Saint Johnsbury",VT,05819-9811,False,0
, METRO COMMUNITY PROVIDER NETWORK INC 7495 W 29th Ave Wheat Ridge,,CO,80033-8002,False,0
" ""Kentucky Rural Health Information Technology Network, Inc.""",1019 Cumberland Falls Hwy STE B210 Corbin,"Inc."" 1019 Cumberland Falls Hwy STE B210 Corbin",KY,40701-2793,False,0
" ""TURNER HOUSE CLINIC, INC""",21 N 12th St Kansas City,"INC"" 21 N 12th St Kansas City",KS,66102-5100,False,0
, River Valley Health 471 Hepburn St Williamsport,,PA,17701-6122,False,0
" ""DISTRICT OF COLUMBIA, GOVERNMENT OF""",2201 Shannon Pl SE Washington,"GOVERNMENT OF"" 2201 Shannon Pl SE Washington",DC,20020-5739,False,0
, ALTAMED HEALTH SERVICES CORPORATION Camfield Ave Commerce,,CA,90040-1502,False,0
" ""CENTERSTONE OF ILLINOIS, INC.""",902 W Main St West Frankfort,"INC."" 902 W Main St West Frankfort",IL,62896-2210,False,0
, SALINA HEALTH EDUCATION FOUNDATION INC 651 E Prescott Rd Salina,,KS,67401-7408,False,0
, HEALTH ACCESS NETWORK 175 W Broadway Lincoln,,ME,04457-4000,False,0
, SELDOVIA VILLAGE TRIBE PO BOX L Seldovia,,AK,99663-0250,False,0
, ALBUQUERQUE HEALTH CARE FOR HOMELESS 1217 1st St NW Albuquerque,,NM,87102-1529,False,0
, ALLEGAN COUNTY COMMUNITY MENTAL HEALTH SERVICES BOARD 540 Jenner Dr Allegan,,MI,49010-1517,False,0
, BIG SPRINGS MEDICAL ASSOCIATION INC. 110 S 2nd St Ellington,,MO,63638-9400,False,0
" ""ST. VINCENT DE PAUL VILLAGE, INC.""",3350 E Street San Diego,"INC."" 3350 E Street San Diego",CA,92102-3394,False,0
, RURAL HEALTH CORPORATION OF NORTHEASTERN PENNSYLVANIA 276 E End Ctr Wilkes Barre,,PA,18702-6970,False,0
, PUBLIC HEALTH DISTRICT 4 707 N Armstrong Pl Boise,,ID,83704-0825,False,0
, MINNIE HAMILTON HEALTH CARE CENTER INC 186 Hospital Dr Grantsville,,WV,26147-7100,False,0
" ""RURAL HEALTH SERVICES CONSORTIUM, INC""",4966 Highway 11w Rogersville,"INC"" 4966 Highway 11w Rogersville",TN,37857-6028,False,0
, THE INSTITUTE FOR FAMILY HEALTH Madison Ave New York,,NY,10035-1217,False,0
, MIDDLE TENNESSEE STATE UNIVERSITY 1301 E Main St Murfreesboro,,TN,37132-0001,False,0
, STATE OF ALASKA DEPARTMENT OF HEALTH 350 Main St Juneau,,AK,99801-1149,False,0
" City of New Orleans ""1300 Perdido St, #8E18"" New",,Orleans,LA,70112-2125,False,0
" ""JWCH INSTITUTE, INC.""",5650 Jillson St Commerce,"INC."" 5650 Jillson St Commerce",CA,90040-1482,False,0
, ARUKAH INSTITUTE OF HEALING INC N Main St Princeton,,IL,61356-9786,False,0
" ""AUDUBON AREA COMMUNITY CARE CLINIC, INC""",1700 W 5th St Owensboro,"INC"" 1700 W 5th St Owensboro",KY,42301-,False,0
, WELLSPACE HEALTH 2433 Marconi Ave Sacramento,,CA,95821-4807,False,0
, PHILA DEPARTMENT PUBLIC HEALTH 1101 Market St FL 8 Philadelphia,,PA,19107-2914,False,0
" COASTAL HEALTH & WELLNESS ""9850 Emmett F Lowry Expy, Ste C"" Texas",,City,TX,77591-,False,0
, TUG RIVER HEALTH ASSOCIATION INC 5883 Black Diamond Hwy Welch,,WV,24801,False,0
" ""WESTERN SIERRA MEDICAL CLINIC, INC.""",844 Old Tunnel Rd Grass Valley,"INC."" 844 Old Tunnel Rd Grass Valley",CA,95945-8524,False,0
, HAWAII PRIMARY CARE ASSOCIATION 1402A Clark Pl Wahiawa,,HI,96786-2602,False,0
, SOUTH CAROLINA DEPARTMENT OF PUBLIC HEALTH 400 Otarre Pkwy Cayce,,SC,29033-3751,False,0
, Shackelford County Community Resource Center 725 Pate St Albany,,TX,76430-3225,False,0
, AIDS ARMS INC 3900 Junius St Dallas,,TX,75246-1615,False,0
" ""VNA HEALTH CARE, AN ILLINOIS NOT-FOR-PROFIT CORPORATION""",400 N Highland Ave Aurora,"AN ILLINOIS NOT-FOR-PROFIT CORPORATION"" 400 N Highland Ave Aurora",IL,60506-3814,False,0
, GRANVILLE-VANCE DISTRICT HEALTH DEPARTMENT 1028 College St Oxford,,NC,27565-2507,False,0
, NEIGHBORHOOD HEALTHSOURCE 3300 Fremont Ave N Minneapolis,,MN,55412-2405,False,0
, Oakland Integrated Healthcare Network 461 W Huron St Pontiac,,MI,48341-1601,False,0
" ""PRIMARY HEALTH CARE CENTER OF DADE, INC.""",13570 N Main St Trenton,"INC."" 13570 N Main St Trenton",GA,30752-,False,0
, CHAMBERS COUNTY PUBLIC HOSPITAL DISTRICT #1 200 Hospital Dr Anahuac,,TX,77514,False,0
" ""ILIULIUK FAMILY AND HEALTH SERVICES, INC.""",34 Lavelle Court Unalaska,"INC."" 34 Lavelle Court Unalaska",AK,99685,False,0
, THE CENTER FOR HEALTH INNOVATION 11587 Highway 180 E Silver City,,NM,88061-7780,False,0
, THE RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK 450 Clarkson Ave Brooklyn,,NY,11203-,False,0
, COUNSELING MANAGEMENT SERVICES INC 200 N 7th St Lebanon,,PA,17046-5040,False,0
" ""UNITY HEALTH CARE, INC.""",1100 New Jersey Ave SE Washington,"INC."" 1100 New Jersey Ave SE Washington",DC,20003,False,0
, SOUTHCENTRAL FOUNDATION 4501 Diplomacy Dr Anchorage,,AK,99508-5919,False,0
, COUNTY OF VENTURA 800 S Victoria Ave Ventura,,CA,93009-0002,False,0
, NORTH PENN COMPREHENSIVE HEAL 40 W Wellsboro St Mansfield,,PA,16933-1411,False,0
, GEISINGER CLINIC 100 N Academy Ave Danville,,PA,17822-0001,False,0
, KOKUA KALIHI VALLEY (COMPREHENSIVE FAMILY SERVICES) 2239 N School St Honolulu,,HI,96819-2539,False,0
, CHATTANOOGA HAMILTON COUNTY HOSPITAL AUTHORITY 975 E 3rd St Chattanooga,,TN,37403-2173,False,0
" ""INSTITUTE FOR POPULATION HEALTH, INC.""",1400 Woodbridge St Detroit,"INC."" 1400 Woodbridge St Detroit",MI,48207,False,0
, VISITING NURSE ASSN-CENTRAL 1301 Main St Asbury Park,,NJ,07712-5359,False,0
, LOUISIANA STATE UNIVERSITY 202 HIMES HALL Baton Rouge,,LA,70803,False,0
, LOGAN COUNTY COMMISSION 300 Stratton St Logan,,WV,25601-3924,False,0
" ""TCA HEALTH, INC. NFP""",1029 E 130th St Chicago,"INC. NFP"" 1029 E 130th St Chicago",IL,60628-6908,False,0
, TAPESTRY 360 HEALTH 1301 W Devon Ave Chicago,,IL,60660-1329,False,0
, WILLIAM JAMES COLLEGE INC 1 Wells Ave Newton Center,,MA,02459-3226,False,0
, THOMAS JEFFERSON UNIVERSITY 1020 Walnut St Philadelphia,,PA,19107,False,0
" ""ALABAMA PRIMARY HEALTH CARE ASSOCIATION, INC.""",8244 Old Federal Rd Montgomery,"INC."" 8244 Old Federal Rd Montgomery",AL,36117-8010,False,0
, UNIVERSITY OF LOUISVILLE 2301 S 3rd St Louisville,,KY,40208-1838,False,0
, RAINELLE MEDICAL CENTER 176 Medical Center Dr Rainelle,,WV,25962-1064,False,0
, Sacred Heart Health Services 501 Summit St Yankton,,SD,57078-3855,False,0
, GOVERNMENT OF GUAM- DEPARTMENT OF ADMINISTRATION 590 S Marine Corps Dr Tamuning,,GU,96913,False,0
" ""SUMMIT COMMUNITY CARE CLINIC, INC."" ""360 Peak One Dr, #100""",,Frisco,CO,80443-5948,False,0
, NORTH COUNTY HEALTH PROJECT INCORPORATED 150 Valpreda Rd San Marcos,,CA,92069-2973,False,0
, ROANE COUNTY FAMILY HEALTH CARE 146 Williams Dr Spencer,,WV,25276-1826,False,0
" ""COMMUNITY CARE OF WEST VIRGINIA, INC.""",78 Queens Alley Rd Rock Cave,"INC."" 78 Queens Alley Rd Rock Cave",WV,26234-5890,False,0
, NORTHEAST ALABAMA HEALTH SERVICES 309 Taylor St Scottsboro,,AL,35768-2421,False,0
" ""Public Health, California Department of""",1615 Capitol Ave Sacramento,"California Department of"" 1615 Capitol Ave Sacramento",CA,95814-5015,False,0
, CAPACITY BUILDERS INC 2200 Bloomfield Hwy Farmington,,NM,87401-8110,False,0
, CRAVEN COUNTY GOVERNMENT 406 Craven Street New Bern,,NC,28560-4911,False,0
" ""BRAZOS VALLEY COMMUNITY ACTION AGENCY, INC.""",1500 University Dr E College Station,"INC."" 1500 University Dr E College Station",TX,77840-2600,False,0
" ""SOUTHWEST LOUISIANA PRIMARY HEALTH CARE CENTER, INC.""",8762 Highway 182 Opelousas,"INC."" 8762 Highway 182 Opelousas",LA,70570-5603,False,0
, Hamilton County of 921 E 3rd St Chattanooga,,TN,37403-2102,False,0
, THE UNIVERSITY OF SOUTH DAKOTA 414 E Clark St Vermillion,,SD,57069-2390,False,0
, TRAVERSE HEALTH CLINIC & COALITION 1719 S Garfield Ave Traverse City,,MI,49686-4337,False,0
, COVENANT HOUSE INC 251 E Bringhurst St Philadelphia,,PA,19144-1799,False,0
" ""CROSS ROAD HEALTH MINISTRIES, INC.""",187 Glenn Hwy Glennallen,"INC."" 187 Glenn Hwy Glennallen",AK,99588-0018,False,0
, University of Kentucky 410 Administration Dr Lexington,,KY,40506,False,0
" ""THE GEORGIA ASSOCIATION FOR PRIMARY HEALTH CARE, INC.""",315 W Ponce De Leon Ave STE 1000 Decatur,"INC."" 315 W Ponce De Leon Ave STE 1000 Decatur",GA,30030-2433,False,0
" LOMA LINDA UNIVERSITY ""11145 Anderson St, #203"" Loma",,Linda,CA,92350-1734,False,0
" ""SOUTH PLAINS RURAL HEALTH SERVICES, INC"" ""1000 FM 300, Unit A""",,Levelland,TX,79336-6236,False,0
, DEPARTMENT OF STATE HEALTH SERVICES 1100 W 49th St Austin,,TX,78756-3126,False,0
" ""ST. ANTHONY MEDICAL CENTERS, A NONPROFIT CORPORATION""",6368 Hollywood Blvd Los Angeles,"A NONPROFIT CORPORATION"" 6368 Hollywood Blvd Los Angeles",CA,90028-6320,False,0
, ALTURA CENTERS FOR HEALTH 1134 E Cartmill Ave Tulare,,CA,93274,False,0
, CITY OF FREDERICK 100 W Patrick St Frederick,,MD,21701-5578,False,0
" COUNTY OF SACRAMENTO ""7001 A East Pkwy, Ste 600""",,Sacramento,CA,95823-2501,False,0
, UNIVERSITY OF SOUTH CAROLINA 1600 Hampton St Columbia,,SC,29208-3403,False,0
" HI-DESERT MEMORIAL HEALTH CARE DISTRICT ""6530 La Contenta Rd, Ste 100"" Yucca",,Valley,CA,92284-7313,False,0
, MEDCURA HEALTH INC 5582 Memorial Dr Stone Mountain,,GA,30083-3215,False,0
, VALLEY HEALTH CARE INC 219 US-250 N Mill Creek,,WV,26280,False,0
" ""REDWOOD COAST MEDICAL SERVICES, INC.""",46900 Ocean View Way Gualala,"INC."" 46900 Ocean View Way Gualala",CA,95445-7548,False,0
, FRIENDS OF THE COMMUNITY ACTION PARTNERSHIP OF NATRONA COUNTY 606 S David St Casper,,WY,82601-3136,False,0
, LEE COUNTY COOPERATIVE CLINIC 558 Atkins Blvd Marianna,,AR,72360-2113,False,0
, UNIVERSITY OF MIAMI 1320 S Dixie Hwy STE 1200 Coral Gables,,FL,33146-2926,False,0
, The WeCare Group 321 Van Duzen Rd Mad River,,CA,95526-9508,False,0
, APLA HEALTH & WELLNESS 611 S Kingsley Dr Los Angeles,,CA,90005-2319,False,0
, ASIAN AMERICAN HEALTH COALITION OF THE GREATER HOUSTON AREA 13930 Bellaire Blvd Houston,,TX,77083-1719,False,0
" ""WIRT COUNTY HEALTH SERVICE ASSOCIATION, INC""",483 Court St Elizabeth,"INC"" 483 Court St Elizabeth",WV,26143-7425,False,0
, ISLAND HEALTH INC. 245 Edgartown-Vineyard Haven Road Edgartown,,MA,02539-6948,False,0
, RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA 1001 Emmet St N Charlottesville,,VA,22903-4833,False,0
, MONTANA FAMILY MEDICINE RESIDENCY 123 S 27th St Billings,,MT,59101-4227,False,0
, COUNTY OF MISSOULA 301 West Alder Street Missoula,,MT,59802-4192,False,0
, HEART OF KANSAS FAMILY HEALTH CARE INC 19th St Great Bend,,KS,67530-2502,False,0
, TRAVIS COUNTY HEALTHCARE DISTRICT 1111 E Cesar Chavez St Austin,,TX,78702-4209,False,0
, HOPEHEALTH INC 360 N Irby St Florence,,SC,29501-2808,False,0
" ""CABUN RURAL HEALTH SERVICES, INC.""",402 N Lee St Hampton,"INC."" 402 N Lee St Hampton",AR,71744-8937,False,0
" ""CUMBERLAND FAMILY MEDICAL CENTER, INC."" ""360 Keen St, Ste 500""",,Burkesville,KY,42717-7944,False,0
, FAMILY CENTERS INC 40 Arch St Greenwich,,CT,06830-6525,False,0
" ""St. Francis House NWA, Inc.""",614 E Emma Ave Springdale,"Inc."" 614 E Emma Ave Springdale",AR,72764-4400,False,0
" ""COMMUNITY MEDICAL WELLNESS CENTERS, USA"" ""1360 E Anaheim St, Ste 101"" Long",,Beach,CA,90813-5515,False,0
" ""ELAINE ELLIS CENTER OF HEALTH, INC""",1627 Kenilworth Ave Ne Washington,"INC"" 1627 Kenilworth Ave Ne Washington",DC,20019-,False,0
, CAREARC INC 420 W 15th Ave Emporia,,KS,66801-5367,False,0
, NEIGHBORHOOD MEDICAL CENTER INC. 438 W Brevard St Tallahassee,,FL,32301-1004,False,0
, WEST VIRGINIA SCHOOL OF OSTEOPATHIC MEDICINE CLINIC INC 1464 Jefferson St N Lewisburg,,WV,24901-1380,False,0
, RURAL HEALTH INC 513 N Main St Anna,,IL,62906-1697,False,0
" ""VOLUNTEERS OF AMERICA MID-STATES, INC.""",570 S 4th St Louisville,"INC."" 570 S 4th St Louisville",KY,40202-2504,False,0
" ""RURAL HEALTH NETWORK OF MONROE COUNTY, FLORIDA, INC.""",3706 N Roosevelt Blvd STE C Key West,"INC."" 3706 N Roosevelt Blvd STE C Key West",FL,33040-4566,False,0
" CHEYENNE HEALTH AND WELLNESS CENTER ""2508 E Fox Farm Rd, Suite 2""",,Cheyenne,WY,82007-2559,False,0
, UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES 195 N W Salt Lake City,,UT,84116-3100,False,0
, MISSION AREA HEALTH ASSOCIATES 240 Shotwell St San Francisco,,CA,94110-1390,False,0
" ""HARBOR HOMES, INC.""",77 Northeastern Blvd Nashua,"INC."" 77 Northeastern Blvd Nashua",NH,03062-3128,False,0
, PROGRESSIVE MEDICAL MANAGEMENT OF BATESVILLE LLC 303 Medical Center Dr Batesville,,MS,38606-8608,False,0
, UNIVERSITY OF ALASKA ANCHORAGE 3211 Providence Dr Anchorage,,AK,99508-4614,False,0
, HMH HOSPITALS CORPORATION 343 Thornall St Edison,,NJ,08837-2206,False,0
" ""CENTRAL VIRGINIA HEALTH SERVICES, INC.""",25892 N James Madison Hwy New Canton,"INC."" 25892 N James Madison Hwy New Canton",VA,23123-2234,False,0
, UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES 4301 W Markham St Little Rock,,AR,72205-7199,False,0
, MARY'S CENTER FOR MATERNAL AND CHILD CARE INC. 2333 Ontario Rd Nw Washington,,DC,20009-2627,False,0
" ""SOUTHERN CALIFORNIA MEDICAL CENTER, INC.""",14550 Haynes St Van Nuys,"INC."" 14550 Haynes St Van Nuys",CA,91411-1613,False,0
" ""ASIAN PACIFIC HEALTH CARE VENTURE, INC.""",4216 Fountain Ave Los Angeles,"INC."" 4216 Fountain Ave Los Angeles",CA,90029-2256,False,0
" JERICHO ROAD MINISTRIES INC ""184 Barton St, Ste 1""",,Buffalo,NY,14213-1573,False,0
, MEDIATION & RESTORATIVE JUSTICE CENTER INC 133 N Water St Boone,,NC,28607-3685,False,0
, The University of Texas Southwestern Medical Center 5323 Harry Hines Blvd Dallas,,TX,75390-7201,False,0
" ""Bethany Christian Services of Georgia, Inc""",1408 Southlake Plaza Dr Morrow,"Inc"" 1408 Southlake Plaza Dr Morrow",GA,30260,False,0
, CREEK VALLEY HEALTH CLINIC 20 South Colvin Street Colorado City,,AZ,86021,False,0
" ""HEALTH, NEW JERSEY DEPARTMENT OF""",55 N Willow St Trenton,"NEW JERSEY DEPARTMENT OF"" 55 N Willow St Trenton",NJ,08608-1203,False,0
, MARYLAND DEPARTMENT OF HEALTH 201 W Preston St FL 3 Baltimore,,MD,21201-2301,False,0
" THE MENTAL HEALTH ASSOCIATION OF OREGON ""2740 SE Powell Blvd, Ste 3""",,Portland,OR,97202-,False,0
" ""PENDLETON COMMUNITY CARE, INC""",82 Pine St Franklin,"INC"" 82 Pine St Franklin",WV,26807-6630,False,0
, HEALTHCARE FOR THE HOMELESS-HOUSTON Caroline St Houston,,TX,77002-8210,False,0
, COUNTY OF FULTON 141 Pryor St SW Atlanta,,GA,30303-3444,False,0
, NORTHEAST WASHINGTON COUNTY COMMUNITY HE 157 Towne Ave Plainfield,,VT,05667-9425,False,0
" ""OUTPATIENT MEDICAL CENTER, INC.""",1640 Breazeale Springs St Natchitoches,"INC."" 1640 Breazeale Springs St Natchitoches",LA,71457-4278,False,0
, COMMUNITY & RURAL HEALTH SERVICES 2221 Hayes Ave Fremont,,OH,43420-2632,False,0
, SAC HEALTH SYSTEM 1455 3rd St San Bernardino,,CA,92408-0218,False,0
, YORK COUNTY COMMUNITY ACTION CORPORATION 6 Spruce St Sanford,,ME,04073-2917,False,0
, Cornell Scott Hill Health Corporation 400 Columbus Ave New Haven,,CT,06519-1222,False,0
" SAN FERNANDO COMMUNITY HOSPITAL ""732 Mott St, Ste 100"" San",,Fernando,CA,91340-4240,False,0
" ""PUBLIC HEALTH, MASSACHUSETTS DEPARTMENT OF""",250 Washington Street Boston,"MASSACHUSETTS DEPARTMENT OF"" 250 Washington Street Boston",MA,02108-4619,False,0
, HUDSON HEADWATERS HEALTH NETWORK 9 Carey Rd Queensbury,,NY,12804-7880,False,0
, BRISTOL BAY BOROUGH OF 96 Second Ave Naknek,,AK,99633-0030,False,0
, SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE 801 N Rutledge St Springfield,,IL,62702-4933,False,0
, SOUTH TEXAS RURAL HEALTH SERVICES INC 105 S Stewart Cotulla,,TX,78014-3003,False,0
, KARUK TRIBE OF CALIFORNIA 64236 2nd Ave Happy Camp,,CA,96039,False,0
, START CORP 420 Magnolia St Houma,,LA,70360-6304,False,0
, HEART TO HAND INC 9701 Apollo Dr STE 400 Upper Marlboro,,MD,20774-4791,False,0
" NEIGHBORCARE HEALTH ""1200 12th Ave S, Ste 901""",,Seattle,WA,98144-2712,False,0
, COMWELL 10257 State Route 3 Red Bud,,IL,62278-4418,False,0
, NEW HORIZONS COMMUNITY SERVICE BOARD 2100 Comer Ave Columbus,,GA,31904-8725,False,0
, UNIVERSITY OF SOUTHERN CALIFORNIA 3720 S Flower St FL 3 Los Angeles,,CA,90089-4304,False,0
, COMMUNITY ACTION COMMITTEE OF PIKE COUNTY 941 Market St Piketon,,OH,45661-9757,False,0
, MAPLE CITY HEALTH CARE CENTER 213 Middlebury St Goshen,,IN,46528-2956,False,0
" Stigler Health and Wellness Center Inc. ""1505 E Main St, Unit A""",,Stigler,OK,74462-2804,False,0
, CASS COUNTY PUBLIC HEALTH DEPARTMENT 331 S Main St Virginia,,IL,62691-1571,False,0
, HAWAII DEPARTMENT OF HEALTH 1250 Punchbowl St Honolulu,,HI,96813-2498,False,0
, AUNT MARTHA'S HEALTH & WELLNESS INC 19990 Governors Hwy Olympia Fields,,IL,60461-1021,False,0
" ""BROWARD, COUNTY OF""",115 S Andrews Ave STE 409 Fort Lauderdale,"COUNTY OF"" 115 S Andrews Ave STE 409 Fort Lauderdale",FL,33301-1817,False,0
, SANTA BARBARA NEIGHBORHOOD CLINICS 414 E Cota St FL 1 Santa Barbara,,CA,93101-1624,False,0
" ""PRIMARY HEALTHCARE ASSOCIATION OF S.C., THE""",3 Technology Cir Columbia,"THE"" 3 Technology Cir Columbia",SC,29203-9591,False,0
" REACH OUT WEST END ""1126 W Foothill Blvd, Suite 250""",,Upland,CA,91786-3786,False,0
